full_text,description_clean,prevention_clean,description_length,context_length,has_root_cause,has_prevention,severity_encoded,is_resolved,hour,day_of_week,is_business_hours,has_traceback,has_exception,has_timeout,has_connection,has_file,has_permission,has_null,has_syntax,category_target,has_fix
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,17,6,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,17,6,1,0,0,0,0,1,0,0,0,unknown,0
"Maximum update depth exceeded. This can happen when a component repeatedly calls setState inside componentWillUpdate or componentDidUpdate. React limits the number of nested updates to prevent infinite loops. {""file"":""unknown"",""function"":""componentDidCatch"",""component"":""ErrorBoundary"",""operation"":""React component render"",""stack"":""\n at FileBrowser (http://localhost:5173/src/components/FileBrowser.tsx:10:35)\n at main (<anonymous>)\n at div (<anonymous>)\n at App (http://localhost:5173/src/App.tsx?t=1762618390545:39:60)\n at ProjectsProvider (http://localhost:5173/src/contexts/ProjectsContext.tsx:7:36)\n at ErrorBoundary (http://localhost:5173/src/components/ErrorBoundary.tsx:6:5)\n at QueryClientProvider (http://localhost:5173/node_modules/.vite/deps/@tanstack_react-query.js?v=2fd7f280:3025:3)""} ",Maximum update depth exceeded. This can happen when a component repeatedly calls setState inside componentWillUpdate or componentDidUpdate. React limits the number of nested updates to prevent infinite loops.,,208,597,0,0,4,0,19,5,0,0,1,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",No active window found,,22,123,0,0,1,0,16,5,1,0,0,0,0,1,0,0,0,unknown,0
